,precision_at_5,recall_at_5,recall_at_20,recall_at_50,ndcg_at_5,mrr,map_at_5,hit_rate_at_5,coverage_at_5,diversity_at_5,novelty_at_5,intent_consistency_at_5,grounding_score,violation_rate,confidence_mean,confidence_std,runtime_sec,setting,discarded_avg
0,0.805,0.1193121086515565,0.2136226895910333,0.2136226895910333,0.828964377458294,0.86,0.8464333333333335,0.86,0.5579999999999999,0.8845000000000001,0.1740999999999999,0.845,0.6522,0.1229999999999999,0.6599472586620672,0.0375144935046776,0.0388120651245117,no_semantic,0.055
1,0.737,0.118716654106102,0.2003643891957764,0.2003643891957764,0.7590931826556669,0.8466666666666667,0.7503666666666666,0.88,0.629,0.807,0.2009999999999999,0.845,0.6408666666666667,0.128,0.4058769884004215,0.077321132802221,0.0370097684860229,no_refinement,0
2,0.722,0.1176121086515565,0.2003643891957764,0.2003643891957764,0.7323946859891199,0.8333333333333335,0.72835,0.875,0.6509999999999999,0.7755,0.214,0.845,0.6425333333333333,0.126,0.5774484116032791,0.0402755318630036,0.0395981204509735,no_personalization,0.67
3,0.71,0.1145621086515565,0.2003643891957764,0.2003643891957764,0.7255235942912557,0.8333333333333335,0.7120666666666666,0.875,0.628,0.7870000000000001,0.2100999999999999,0.845,0.6428666666666666,0.125,0.5871567518385049,0.0408599795611125,0.0395603477954864,full,0.67
4,0.5065,0.1007984722879202,0.1630265332574354,0.1630265332574354,0.5130808089514134,0.7,0.4359333333333333,0.905,0.6415,0.7337916666666667,0.263775,0.845,0.5844222222222222,0.194,0.5836978665742601,0.0601831900727443,0.0381521904468536,no_graph,1.735
